n_neighbors,distance_metric,wdtw_g,regime_filter,calendar_filter,norm_method,horizon_len,n_tests,direction_accuracy,avg_rmse,avg_mae,avg_r2,ticker
5,wdtw,0.01,True,True,log_returns,10,29,0.4827586206896552,0.00020409918176330825,0.00015722112910861917,-4.400123688002991,NQ
5,wdtw,0.01,True,True,log_returns,20,29,0.6551724137931034,0.00020763291299287097,0.0001615095314425928,-3.9846419700976714,NQ
5,wdtw,0.01,True,True,log_returns,30,29,0.4827586206896552,0.00019015751923815463,0.00014671173438269728,-2.9046307115055936,NQ
5,wdtw,0.01,True,True,pct_change,10,29,0.4827586206896552,0.00020409918176330825,0.00015722112910861917,-4.400123688002991,NQ
5,wdtw,0.01,True,True,pct_change,20,29,0.6551724137931034,0.00020763291299287097,0.0001615095314425928,-3.9846419700976714,NQ
5,wdtw,0.01,True,True,pct_change,30,29,0.4827586206896552,0.00019015751923815463,0.00014671173438269728,-2.9046307115055936,NQ
5,wdtw,0.01,True,False,log_returns,10,30,0.4666666666666667,0.00020273828806581924,0.00015659950385007442,-4.318100917071908,NQ
5,wdtw,0.01,True,False,log_returns,20,30,0.6333333333333333,0.0002058492497078346,0.0001605302146089471,-3.901121704669319,NQ
5,wdtw,0.01,True,False,log_returns,30,30,0.5,0.00018874719948867464,0.0001458962341008427,-2.8341483554874736,NQ
5,wdtw,0.01,True,False,pct_change,10,30,0.4666666666666667,0.00020273828806581924,0.00015659950385007442,-4.318100917071908,NQ
5,wdtw,0.01,True,False,pct_change,20,30,0.6333333333333333,0.0002058492497078346,0.0001605302146089471,-3.901121704669319,NQ
5,wdtw,0.01,True,False,pct_change,30,30,0.5,0.00018874719948867464,0.0001458962341008427,-2.8341483554874736,NQ
5,wdtw,0.01,False,True,log_returns,10,30,0.5,0.000327971017982194,0.000250427614647093,-16.947599592472493,NQ
5,wdtw,0.01,False,True,log_returns,20,30,0.6333333333333333,0.0002784542516438495,0.00021619594992559836,-9.393456729517222,NQ
5,wdtw,0.01,False,True,log_returns,30,30,0.5,0.00025320344561549933,0.00019595410773694892,-6.82208493470463,NQ
5,wdtw,0.01,False,True,pct_change,10,30,0.5,0.000327971017982194,0.000250427614647093,-16.947599592472493,NQ
5,wdtw,0.01,False,True,pct_change,20,30,0.6333333333333333,0.0002784542516438495,0.00021619594992559836,-9.393456729517222,NQ
5,wdtw,0.01,False,True,pct_change,30,30,0.5,0.00025320344561549933,0.00019595410773694892,-6.82208493470463,NQ
5,wdtw,0.01,False,False,log_returns,10,30,0.4666666666666667,0.00033517377717248107,0.00025538661835791237,-17.317945110162807,NQ
5,wdtw,0.01,False,False,log_returns,20,30,0.6333333333333333,0.0002840691732502541,0.00022012603584572487,-9.626428274952351,NQ
5,wdtw,0.01,False,False,log_returns,30,30,0.5,0.000257918907370378,0.0001995764771081609,-6.9694965646229186,NQ
5,wdtw,0.01,False,False,pct_change,10,30,0.4666666666666667,0.00033517377717248107,0.00025538661835791237,-17.317945110162807,NQ
5,wdtw,0.01,False,False,pct_change,20,30,0.6333333333333333,0.0002840691732502541,0.00022012603584572487,-9.626428274952351,NQ
5,wdtw,0.01,False,False,pct_change,30,30,0.5,0.000257918907370378,0.0001995764771081609,-6.9694965646229186,NQ
5,wdtw,0.05,True,True,log_returns,10,29,0.4827586206896552,0.00020409918176330825,0.00015722112910861917,-4.400123688002991,NQ
5,wdtw,0.05,True,True,log_returns,20,29,0.6551724137931034,0.00020763291299287097,0.0001615095314425928,-3.9846419700976714,NQ
5,wdtw,0.05,True,True,log_returns,30,29,0.4827586206896552,0.00019015751923815463,0.00014671173438269728,-2.9046307115055936,NQ
5,wdtw,0.05,True,True,pct_change,10,29,0.4827586206896552,0.00020409918176330825,0.00015722112910861917,-4.400123688002991,NQ
5,wdtw,0.05,True,True,pct_change,20,29,0.6551724137931034,0.00020763291299287097,0.0001615095314425928,-3.9846419700976714,NQ
5,wdtw,0.05,True,True,pct_change,30,29,0.4827586206896552,0.00019015751923815463,0.00014671173438269728,-2.9046307115055936,NQ
5,wdtw,0.05,True,False,log_returns,10,30,0.4666666666666667,0.00020273828806581924,0.00015659950385007442,-4.318100917071908,NQ
5,wdtw,0.05,True,False,log_returns,20,30,0.6333333333333333,0.0002058492497078346,0.0001605302146089471,-3.901121704669319,NQ
5,wdtw,0.05,True,False,log_returns,30,30,0.5,0.00018874719948867464,0.0001458962341008427,-2.8341483554874736,NQ
5,wdtw,0.05,True,False,pct_change,10,30,0.4666666666666667,0.00020273828806581924,0.00015659950385007442,-4.318100917071908,NQ
5,wdtw,0.05,True,False,pct_change,20,30,0.6333333333333333,0.0002058492497078346,0.0001605302146089471,-3.901121704669319,NQ
5,wdtw,0.05,True,False,pct_change,30,30,0.5,0.00018874719948867464,0.0001458962341008427,-2.8341483554874736,NQ
5,wdtw,0.05,False,True,log_returns,10,30,0.5,0.000327971017982194,0.000250427614647093,-16.947599592472493,NQ
5,wdtw,0.05,False,True,log_returns,20,30,0.6333333333333333,0.0002784542516438495,0.00021619594992559836,-9.393456729517222,NQ
5,wdtw,0.05,False,True,log_returns,30,30,0.5,0.00025320344561549933,0.00019595410773694892,-6.82208493470463,NQ
5,wdtw,0.05,False,True,pct_change,10,30,0.5,0.000327971017982194,0.000250427614647093,-16.947599592472493,NQ
5,wdtw,0.05,False,True,pct_change,20,30,0.6333333333333333,0.0002784542516438495,0.00021619594992559836,-9.393456729517222,NQ
