total_trades,direction_accuracy,hit_ratio,profit_factor,sharpe_ratio,max_drawdown,expectancy,avg_mfe,avg_mae_excursion,mfe_mae_ratio,long_win_rate,short_win_rate,avg_win,avg_loss,avg_rmse,avg_mae,data_path,window_start_time,window_end_time,extend_sessions,forecast_horizon,n_neighbors,distance_metric,norm_method,min_train_windows,tp_threshold,sl_threshold,resample,timezone,max_test_days
40,0.55,0.625,2.2145628014589875,4.373896221978162,0.01606793194565098,0.0018598176140788277,0.004601151818603898,-0.002790568712208918,1.6488222628145877,0.5,0.6428571428571429,0.006165604911405353,0.0034028113048758146,0.0011026393490284065,0.0008697583360888151,data/test/NQ_2024-09-06_2025-09-13.parquet,08:00:00,09:30:00,1,30,15,euclidean,pct_change,30,0.005,0.005,5min,America/New_York,40
40,0.525,0.6666666666666666,2.0041442486042,4.290167013546039,0.011433737844131108,0.0011662087126015773,0.002906843249638469,-0.0016849313146892447,1.7251998489769798,0.47619047619047616,0.5789473684210527,0.004433532024965402,0.0024450433694847553,0.001334381423663543,0.001100461501653745,data/test/NQ_2024-09-06_2025-09-13.parquet,08:00:00,09:30:00,1,10,5,euclidean,log_returns,30,0.005,0.005,5min,America/New_York,40
40,0.525,0.625,1.9568220367364166,3.7078062403185448,0.0234185218197378,0.0015928624644872063,0.004624794376029224,-0.002766926154783592,1.6714556577643613,0.47058823529411764,0.5652173913043478,0.0062049621456707294,0.0035047213936630042,0.0011005213095864976,0.0008803391972266077,data/test/NQ_2024-09-06_2025-09-13.parquet,08:00:00,09:30:00,1,30,15,euclidean,log_returns,30,0.005,0.005,5min,America/New_York,40
40,0.55,0.5416666666666666,1.7834770117964986,3.203407923242382,0.020149308634710716,0.0013855139884349913,0.004397761740758536,-0.0029939587900542795,1.4688785147503003,0.5,0.5769230769230769,0.005734419797183684,0.003929815333368967,0.0011130439968440042,0.0008881864130375405,data/test/NQ_2024-09-06_2025-09-13.parquet,08:00:00,09:30:00,1,30,10,euclidean,log_returns,30,0.005,0.005,5min,America/New_York,40
40,0.475,0.5333333333333333,1.7556801542287852,3.4773971832523,0.021116074933815995,0.0009567757668743262,0.002820506953926755,-0.001771267610400959,1.5923663580616603,0.43478260869565216,0.5294117647058824,0.004679763874196233,0.0024116420445121603,0.0013094379935654238,0.0010711697972387328,data/test/NQ_2024-09-06_2025-09-13.parquet,08:00:00,09:30:00,1,10,10,euclidean,log_returns,30,0.005,0.005,5min,America/New_York,40
40,0.5,0.6190476190476191,1.7002049501839307,3.170290669009149,0.022794156962908624,0.0011917313502525769,0.004030258061069417,-0.0023703371463750455,1.7002889513978579,0.45454545454545453,0.5172413793103449,0.005787412786660731,0.0034039500861555772,0.0011859231051474374,0.000966001205985648,data/test/NQ_2024-09-06_2025-09-13.parquet,08:00:00,09:30:00,1,20,15,euclidean,log_returns,30,0.005,0.005,5min,America/New_York,40
40,0.55,0.5714285714285714,1.6710643850189877,3.0676526094107968,0.014543316611072263,0.001154595207125452,0.003943157667023451,-0.002457437540421011,1.604581032951871,0.5384615384615384,0.5555555555555556,0.005227524221394187,0.0038234291436474465,0.0012456751737213462,0.001013150612542282,data/test/NQ_2024-09-06_2025-09-13.parquet,08:00:00,09:30:00,1,20,5,euclidean,log_returns,30,0.005,0.005,5min,America/New_York,40
40,0.5,0.5333333333333333,1.5732224734748863,2.801472120756728,0.010025218147894881,0.0007772251257131379,0.0025411111830581324,-0.002050663381269581,1.2391654360575317,0.4642857142857143,0.5833333333333334,0.0042662250393252325,0.0027117747878989567,0.0012986048128191588,0.001065907437808903,data/test/NQ_2024-09-06_2025-09-13.parquet,08:00:00,09:30:00,1,10,15,euclidean,log_returns,30,0.005,0.005,5min,America/New_York,40
40,0.475,0.5833333333333334,1.4978963470539026,2.2452429088446633,0.02223465441097549,0.000981153195446712,0.004255456605836738,-0.0031362639249760777,1.3568553883325354,0.42857142857142855,0.5263157894736842,0.006214211562014498,0.00375351866001938,0.0010984520364502582,0.00087463096414958,data/test/NQ_2024-09-06_2025-09-13.parquet,08:00:00,09:30:00,1,30,20,euclidean,log_returns,30,0.005,0.005,5min,America/New_York,40
40,0.525,0.6666666666666666,1.4936511307530773,2.39982942074843,0.020981830490991192,0.0009097757539879606,0.0035209286147693504,-0.0028796665926751125,1.2226862039256174,0.5,0.5625,0.005243292562282014,0.003879900718337046,0.001191079321166609,0.0009555447439033654,data/test/NQ_2024-09-06_2025-09-13.parquet,08:00:00,09:30:00,1,20,15,euclidean,pct_change,30,0.005,0.005,5min,America/New_York,40
